QuestionType;Question;QuestionID;Answer_Participant_p1_condition_A;Answer_Participant_p2_condition_A;Answer_Participant_p3_condition_A
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;8;2;20
radio;Which one is more slippery;q1;1;1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;3;5;0
linearSlider;Please rate how realistic the entire experience is;s1;6;2;1
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;8;10;13
radio;Which one is more slippery;q1;1;2;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;3;7;7
linearSlider;Please rate how realistic the entire experience is;s1;5;7;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;13;6;6
radio;Which one is more slippery;q1;3;1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;5;3;8
linearSlider;Please rate how realistic the entire experience is;s1;5;5;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;16;6;5
radio;Which one is more slippery;q1;3;1;1
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;7;3;7
linearSlider;Please rate how realistic the entire experience is;s1;7;3;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;7;17;18
radio;Which one is more slippery;q1;1;3;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;5;2;6
linearSlider;Please rate how realistic the entire experience is;s1;5;3;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;6;2;13
radio;Which one is more slippery;q1;1;1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;3;1;7
linearSlider;Please rate how realistic the entire experience is;s1;5;1;7
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;6;9;20
radio;Which one is more slippery;q1;1;1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;2;3;0
linearSlider;Please rate how realistic the entire experience is;s1;3;3;0
linearGrid;Please compare how slippery the surface looks to how slippery the surface feels!;s1;2;9;14
radio;Which one is more slippery;q1;1;1;3
linearSlider;Please rate how similar the slipperiness between the surface's look and feel;s1;1;2;6
linearSlider;Please rate how realistic the entire experience is;s1;1;2;7

