QuestionType;Question;QuestionID;Answer_Participant_id1_condition_A;Answer_Participant_id2_condition_B;Answer_Participant_id3_condition_AB;Answer_Participant_id4_condition_B;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A
radio;UIST is an amazing conference;q1;4;4;2;;7;3;3;5;5;3;5;5
radio;VR is a beautiful research tool;q2;5;3;3;;8;12;3;12;11;4;10;11
radio;Happiness is the key to success;q3;5;;2;;4;3;3;4;4;3;1;4
radio;Debugging is awesome;q4;5;4;4;1;8;6;4;6;7;5;8;7
radio;I like fixing bugs;q5;4;3;4;1;6;8;4;5;5;4;6;6
radio;I would use the VRQuestionnaireToolkit;q6;5;4;4;1;5;6;4;7;7;4;8;6
radioGrid;Hololens_The system was easy to use;q7;4;2;2;1;4;8;3;6;4;2;5;6
radioGrid;Oculus Rift_The system was easy to use;q7;3;2;2;1;6;5;3;6;7;3;5;8
radioGrid;Vive_The system was easy to use;q7;4;2;4;2;6;6;3;7;6;3;7;8
radioGrid;Magic Leap_The system was easy to use;q7;4;3;4;2;5;6;3;6;6;3;7;7

