,,,"Scene 1
 (tile)","Scene 2
(Snow)","Scene 3 
(Asphalt)","Scene 4 
(Laminate)","Scene 5 
(Ice)","Scene 6 
(Tile wet)","Scene 7 
(Parquet)","Scene 8 
(Tartan)"
Shoe 0,p1,q1 (comparison),14,12,19,13,6,15,13,16
,,q2 (which one),3,3,3,3,1,3,3,3
,,q3 (how differ),5,5,1,4,2,5,5,2
 ,,q4 (realism),6,6,1,8,2,5,7,2
,p2,q1,12,10,19,11,8,9,11,20
,,q2,3,1,3,3,1,1,2,3
,,q3,6,7,1,7,5,5,7,0
,,q4,3,7,1,7,5,5,7,0
,p3,q1,17,11,20,20,8,12,19,20
,,q2,3,2,3,3,1,3,3,3
,,q3,6,7,0,6,7,8,6,0
,,q4,6,8,0,6,8,7,7,0
,p4,q1,12,16,17,17,10,11,17,16
,,q2,2,3,3,3,2,2,3,3
,,q3,5,5,2,2,8,6,5,2
,,q4,6,5,1,3,8,6,5,2
,p5,q1,14,17,18,13,7,10,15,20
,,q2,3,3,3,3,1,2,3,3
,,q3,3,2,1,4,6,7,3,0
,,q4,3,2,1,5,6,7,4,0
,p6,q1,12,9,19,15,10,12,16,20
,,q2,2,1,3,3,2,2,3,3
,,q3,4,3,1,3,7,7,3,0
,,q4,4,3,1,3,7,7,3,1
,p7,q1,11,11,20,14,8,11,18,20
,,q2,2,2,3,3,2,2,3,3
,,q3,8,8,0,6,6,8,7,0
,,q4,7,8,0,6,6,8,6,0
,p8,q1,11,13,18,14,11,11,12,18
,,q2,2,3,3,3,2,2,2,3
,,q3,8,6,2,5,8,8,6,2
,,q4,8,6,2,6,8,8,7,2
,avg,q1,12.875,12.375,18.75,14.625,8.5,11.375,15.125,18.75
,,q2,2.5,2.25,3,3,1.5,2.125,2.75,3
,,q3,5.625,5.375,1,4.625,6.125,6.75,5.25,0.75
,,q4,5.375,5.625,0.875,5.5,6.25,6.625,5.75,0.875
